,0
342,"-118.46751,34.172114"
343,"-118.16857399999999,33.876142"
344,"-118.46795800000001,34.154133"
345,"-118.367042,33.902803000000006"
346,"-118.40959099999999,34.067"
347,"-118.214423,33.873602000000005"
348,"-117.81388799999999,34.077996999999996"
349,"-118.15919299999999,34.014103000000006"
350,"-118.028953,33.884042"
351,"-118.44667700000001,34.269661"
352,"-118.276449,34.037999"
353,"-118.47213799999999,34.271842"
354,"-118.47233899999999,34.25727"
355,"-118.169474,34.024803000000006"
356,"-118.79583600000001,34.748222"
357,"-117.95700500000001,34.134431"
358,"-118.351925,33.88405"
359,"-118.18461599999999,34.036437"
360,"-117.96116599999999,34.035807"
361,"-117.675546,34.203819"
362,"-118.28009499999999,33.779006"
363,"-118.361313,33.890806"
364,"-117.965352,34.135466"
365,"-118.287232,33.831592"
366,"-118.098707,33.944518"
367,"-118.28749599999999,33.808924"
368,"-117.800899,34.068247"
369,"-118.284625,33.856753999999995"
370,"-118.592104,34.115846999999995"
371,"-118.104902,33.899038"
372,"-118.57076399999998,34.380969"
373,"-118.231528,34.085334"
374,"-118.44238600000001,34.526244"
375,"-118.36854199999999,33.928871"
376,"-118.220771,34.032606"
377,"-118.28268700000001,33.960068"
378,"-118.227253,34.144961"
379,"-118.28276399999999,34.491873"
380,"-118.22993799999999,34.028467"
381,"-118.257943,34.156423"
382,"-118.21888799999999,34.035697"
383,"-118.18615,34.107766999999996"
384,"-117.80473500000001,34.060891999999996"
385,"-118.029129,34.067871999999994"
386,"-118.217798,33.970894"
387,"-118.26106399999999,34.051287"
388,"-118.275403,34.038521"
389,"-118.350623,34.004798"
390,"-118.284779,33.86893"
391,"-118.221349,34.040760999999996"
392,"-118.28625,34.036770000000004"
393,"-118.229234,34.053178"
394,"-118.630377,34.162153"
395,"-118.18765400000001,33.896214"
396,"-118.451951,34.055686"
397,"-118.300265,33.942289"
398,"-118.413771,34.156661"
399,"-118.220973,34.042994"
400,"-118.000227,34.065158000000004"
401,"-118.24624299999999,33.929475"
402,"-118.22153899999999,34.036861"
403,"-118.259318,34.052483"
404,"-118.213986,34.049561"
405,"-118.25615900000001,34.029561"
406,"-118.28576299999999,33.888335999999995"
407,"-118.167133,34.027246000000005"
408,"-118.199285,33.862306"
409,"-118.22209199999999,34.04912"
410,"-118.242947,34.023585"
411,"-118.32691899999999,34.105524"
412,"-118.12898899999999,33.87608"
413,"-118.16376100000001,34.033325"
414,"-118.14268600000001,33.877019"
415,"-118.163501,34.031307"
416,"-118.102364,33.876453000000005"
417,"-118.046656,33.91706"
418,"-118.352506,34.133075"
419,"-118.10377700000001,33.881387"
420,"-118.273705,34.127583"
421,"-118.347222,34.128417"
422,"-118.214155,34.049636"
423,"-118.21481499999999,34.058917"
424,"-118.21722,34.043031"
425,"-118.724527,34.138228000000005"
426,"-118.272155,33.749731"
427,"-118.172697,34.023644"
428,"-118.170142,34.035486"
429,"-118.173354,34.016742"
430,"-118.165089,34.062484999999995"
431,"-118.536193,34.275192"
432,"-118.12021100000001,33.964275"
433,"-117.957586,34.134382"
434,"-118.243711,34.095511"
435,"-118.234118,34.087198"
436,"-118.15965,34.010048"
437,"-117.96148000000001,34.070295"
438,"-118.475404,34.088594"
439,"-118.437955,33.982958"
440,"-117.90519499999999,33.994046999999995"
441,"-118.15983600000001,33.912056"
442,"-118.282657,33.989163"
443,"-117.89008100000001,34.121386"
444,"-117.90758899999999,34.120486"
445,"-118.16193,34.044176"
446,"-118.028821,33.884131"
447,"-117.93404199999999,34.580001"
448,"-117.90566899999999,33.988336"
449,"-118.180973,34.033344"
450,"0.0,0.0"
451,"-118.14418300000001,34.033088"
452,"-118.4685,34.177111"
453,"-118.09718000000001,34.072114"
454,"-118.24204499999999,34.155853"
455,"-118.241778,33.825733"
456,"-117.823429,34.010308"
457,"-118.28006299999998,34.018440999999996"
458,"-117.89054399999999,33.9956"
459,"-118.42665600000001,34.031657"
460,"-118.59735500000001,34.169519"
461,"-118.215764,34.030042"
462,"-118.472417,34.163267"
463,"-118.16315800000001,34.019703"
464,"-118.065271,34.003008"
465,"-118.06931499999999,33.993558"
466,"-117.894166,34.071914"
467,"-118.04086799999999,34.646023"
468,"-118.169877,34.704104"
469,"-118.571053,34.394110999999995"
470,"-118.65208700000001,34.153439"
471,"-118.17019599999999,34.694458000000004"
472,"-118.69790800000001,34.148569"
473,"-118.455725,34.323449"
474,"-118.180447,34.033398999999996"
475,"-118.19061599999999,33.884737"
476,"-118.208358,33.829346"
477,"-118.192255,34.020302"
478,"-118.220142,33.846756"
479,"-118.61509199999999,34.452631"
480,"-118.178431,33.932459"
481,"-118.218398,34.645576"
482,"-118.180396,33.911782"
483,"-118.168806,33.911281"
484,"-117.806572,34.065321999999995"
485,"-118.337948,34.198931"
486,"-117.69034099999999,33.604624"
487,"-117.976134,33.854718"
488,"-117.63223899999998,34.264563"
489,"-117.50614499999999,33.891739"
490,"-117.527125,34.136296"
491,"-117.880076,33.921681"
492,"-117.95929199999999,33.854014"
493,"-117.184481,34.157305"
494,"-116.824422,34.244817"
495,"-117.644705,33.885695"
496,"-117.94663500000001,33.85419"
497,"-117.692851,33.971022"
498,"-117.66582,33.520502"
499,"-116.832406,34.23587"
500,"-117.875781,33.853441"
501,"-117.941653,33.854208"
502,"-117.371794,33.976904"
503,"-117.48206,34.324444"
504,"-117.37910600000001,33.957553999999995"
505,"-117.305097,33.954726"
506,"-117.474694,34.311844"
507,"-117.66066699999999,34.087408"
508,"-117.26763999999999,33.940672"
509,"-117.60131100000001,33.411232"
510,"-117.662948,34.087394"
511,"-117.31224399999999,34.065011"
512,"-117.532227,34.106403"
513,"-117.333453,34.026222"
514,"-117.42958899999999,34.325136"
515,"-116.958696,34.095606"
516,"-117.288242,34.228047"
517,"-117.607662,33.880061"
518,"-117.659653,33.930823"
519,"-117.458069,34.167501"
520,"-117.49853799999998,34.019262"
521,"-116.826748,34.243091"
522,"-117.651797,34.004791"
523,"-117.54876100000001,33.884004"
524,"-117.083675,34.212482"
525,"-117.21461799999999,34.264501"
526,"-117.65816399999999,34.236683"
527,"-117.801455,33.724212"
528,"-117.52698899999999,34.136540999999994"
529,"-117.33578899999999,34.067325"
530,"-116.93026699999999,34.235831"
531,"-117.72422900000001,34.025118"
532,"-116.832429,34.236993"
533,"-116.751349,34.216848"
534,"-117.028368,34.226403000000005"
535,"-117.488925,34.09195"
536,"-116.831778,34.243010999999996"
537,"-117.324626,34.06589"
538,"-117.179432,34.235364000000004"
539,"-117.649561,33.881439"
540,"-117.473298,34.310704"
541,"-117.675531,34.203795"
542,"-117.479175,34.066190999999996"
543,"-117.460408,33.904357"
544,"-117.670492,34.134533000000005"
545,"-117.250446,33.843203"
546,"-117.29884299999999,34.063455"
547,"-117.296501,34.064094"
548,"-117.41009299999999,34.324490000000004"
549,"-117.46473600000002,33.759079"
550,"-117.63194299999999,34.082705"
551,"-117.648877,34.087446"
552,"-117.627849,34.080341"
553,"-117.617107,34.074155"
554,"-117.35811299999999,33.707133"
555,"-117.24961,33.941068"
556,"-117.23861799999999,33.941025"
557,"-117.373382,33.973347"
558,"-117.490553,34.136192"
559,"-117.51159799999999,34.136126000000004"
560,"-117.51021000000001,33.823762"
561,"-117.507456,33.806729"
562,"-117.48057800000001,33.896977"
563,"-117.54903999999999,33.882191"
564,"-117.310965,33.957991"
565,"-117.37633400000001,34.135687"
566,"-117.46671200000002,33.901813"
567,"-117.291575,33.942596"
568,"-117.29749699999999,33.945878"
569,"-119.03274499999999,37.629165"
570,"-117.38247700000001,34.00392"
571,"-117.324809,34.138908"
572,"-117.39340700000001,33.730166"
573,"-117.647433,33.903419"
574,"-117.278399,34.064383"
575,"-117.44866100000002,34.066926"
576,"-117.261596,33.837374"
577,"-117.057561,34.248571999999996"
578,"-117.55978400000001,33.904089"
579,"-117.270551,33.941238"
580,"-117.55187,33.887514"
581,"-117.235767,33.809135"
582,"-117.44198100000001,33.914697"
583,"-117.200805,34.080409"
584,"-116.790429,34.15965"
585,"-117.38298700000001,34.003834999999995"
586,"-117.689447,34.055803999999995"
587,"-117.04259499999999,34.222148"
588,"-117.141462,34.183434999999996"
589,"-117.55579099999999,33.937782"
590,"-117.191781,34.135813"
591,"-117.339343,33.979504"
592,"-117.479754,34.316691999999996"
593,"-117.55853300000001,33.909349"
594,"-117.91454499999999,33.687884000000004"
595,"-117.13465,34.208967"
596,"-117.261372,33.940876"
597,"-117.26104199999999,34.064601"
598,"-117.672747,33.554215"
599,"-117.85611200000001,33.847879999999996"
600,"-117.624857,33.440441"
601,"-117.76631499999999,33.596465"
602,"-117.627696,33.442079"
603,"-117.877179,33.93869"
604,"-117.395664,33.653573"
605,"-118.071496,33.774246000000005"
606,"-117.94561499999999,33.701722"
607,"-117.420194,34.233174"
608,"-117.62063,33.68329"
609,"-117.787002,33.855438"
610,"-117.60026699999999,33.519003999999995"
611,"-117.876772,33.778888"
612,"-117.89651599999999,33.778356"
613,"-117.672794,33.562746000000004"
614,"-117.719454,33.722259"
615,"-117.95248400000001,33.628176"
616,"-117.65798600000001,33.878512"
617,"-117.831177,33.776996000000004"
618,"-117.67605400000001,33.868977"
619,"-117.650733,33.668009999999995"
620,"-117.88065800000001,33.88565"
621,"-117.980944,33.748998"
622,"-116.80888700000001,34.244"
623,"-117.287797,34.145474"
624,"-117.837534,33.741803000000004"
625,"-115.45752399999999,33.70113"
626,"-115.458398,33.700907"
627,"-117.096368,34.017208000000004"
628,"-117.094576,34.01612"
629,"-116.71730900000001,34.174028"
630,"-117.18836599999999,34.234538"
631,"-117.533056,33.837302"
632,"-117.475233,34.311899"
633,"-117.951907,33.703089"
634,"-117.38068899999999,33.955933"
635,"-117.85935,33.683601"
636,"-117.40341799999999,34.222565"
637,"-117.108028,34.205575"
638,"-117.90016399999999,33.776976"
639,"-117.55540400000001,33.941957"
640,"-117.410751,34.219413"
641,"-117.370506,33.882343"
642,"-117.273779,34.063708"
643,"-116.717441,34.173665"
644,"-117.048701,34.078362"
645,"-116.84682600000001,34.270354"
646,"-117.104028,33.74494"
647,"-117.546299,34.066583"
648,"-117.20856599999999,34.066720000000004"
649,"-117.46218600000002,34.01636"
650,"-117.022373,34.250504"
651,"-117.302621,34.139885"
652,"-117.448379,33.911048"
653,"-117.317406,34.141606"
654,"-117.660643,33.876305"
655,"-117.928242,33.829015999999996"
656,"-117.184428,34.159057000000004"
657,"-117.15373799999999,34.039584999999995"
658,"-117.13736599999999,34.032745"
659,"-117.18146399999999,34.172112"
660,"-117.361776,33.882314"
661,"-117.36941399999999,33.998259999999995"
662,"-117.43403300000001,34.0118"
663,"-117.243761,33.940994"
664,"-117.55839499999999,34.077191"
665,"-117.078763,34.217913"
666,"-117.52833899999999,34.109268"
667,"-116.79073700000001,34.263212"
668,"-117.414552,34.228375"
669,"-117.492547,34.139401"
670,"-116.983244,34.12792"
671,"-117.62546,34.135002"
672,"-117.25418700000002,34.065924"
673,"-117.46977,34.307719"
674,"-117.253381,34.146931"
675,"-117.146901,34.185927"
676,"-117.222101,34.229594"
677,"-116.94856399999999,34.051114"
678,"-117.086897,34.015246000000005"
679,"-116.80468799999998,34.289704"
680,"-116.743926,34.207427"
681,"-116.720872,34.194395"
682,"-117.237249,34.229908"
683,"-116.832499,34.238713"
684,"-117.36269399999999,33.995706"
685,"-117.594806,33.398275"
686,"-118.03258799999999,33.774243"
687,"-117.97806200000001,33.751462"
688,"-117.750331,33.869407"
689,"-117.880298,33.881565"
690,"-117.879819,33.87399"
691,"-117.635323,33.447347"
692,"-117.954811,33.842719"
693,"-117.667442,33.465522"
694,"-117.20083000000001,34.077382"
695,"-117.72343500000001,33.866913000000004"
696,"-117.739065,33.770475"
697,"-117.703422,33.611391999999995"
698,"-118.028676,33.856823"
699,"-118.04343600000001,33.862774"
700,"-118.247658,33.970794"
701,"-118.479759,34.303247999999996"
702,"-118.15117099999999,34.068589"
703,"-118.47915,34.323042"
704,"-118.230193,33.914398999999996"
705,"-118.404095,34.231708000000005"
706,"-118.10420400000001,33.924817"
707,"-118.46964399999999,34.279088"
708,"-118.19228700000001,34.023952"
709,"-117.933687,34.129715999999995"
710,"-118.180062,34.023934000000004"
711,"-118.149801,34.035234"
712,"-118.388687,34.1721"
713,"-118.137447,34.032979"
714,"-118.13001200000001,34.033033"
715,"-118.09291699999999,34.035921"
716,"-118.031419,34.035706"
717,"-117.976122,33.838155"
718,"-118.102337,33.876381"
719,"-118.38768799999998,34.226744000000004"
720,"-118.482431,34.017152"
721,"-117.791634,34.071825"
722,"-118.239231,34.024729"
723,"-118.208924,33.832433"
724,"-118.14723799999999,34.021996"
725,"-118.32866499999999,33.894649"
726,"-117.844563,34.000753"
727,"-118.25203300000001,33.976707"
728,"-117.981897,34.067442"
729,"-118.28191699999999,33.790541999999995"
730,"-118.053628,34.072272"
731,"-117.752205,34.073756"
732,"-117.88931000000001,33.987424"
733,"-118.368531,33.929709"
734,"-118.225936,34.029385999999995"
735,"-117.997874,34.065261"
736,"-118.25705900000001,34.054983"
737,"-118.18918300000001,34.02005"
738,"-118.15315700000001,34.660286"
739,"-118.264132,34.049437"
740,"-118.081919,34.071958"
741,"-118.08178999999998,34.072303000000005"
742,"-118.364134,33.930896999999995"
743,"-117.973942,34.068483"
744,"-117.83018899999999,34.004011"
745,"-118.27318799999999,34.126560999999995"
746,"-118.28080600000001,33.982366999999996"
747,"-118.25929599999999,34.052331"
748,"-118.385573,34.033876"
749,"-118.265725,33.748521999999994"
750,"-118.74026599999999,34.143275"
751,"-118.507928,34.334539"
752,"-118.658744,34.540456"
753,"-118.073085,34.129129999999996"
754,"-118.35815500000001,33.996426"
755,"-118.07325300000001,34.130266"
756,"-118.13235700000001,34.151994"
757,"-118.500575,34.277901"
758,"-118.227275,34.082782"
759,"-118.178656,34.058312"
760,"-118.384854,34.354375"
761,"-118.365918,34.346005"
762,"-118.30964099999998,33.747186"
